Phase,Section,Task,Status,Target Date,Completed Date,Notes
A,Outreach,Prospect list 20+ in ICP (trades/mfg/distribution),Not started,,,
A,Outreach,Meshflow positioning internalized (queues not dashboards),Not started,,,
A,Outreach,Segment messaging from gtm-product-mfg-distribution ready,Not started,,,
A,Outreach,Cold call kit ready,Not started,,,
A,Outreach,Discovery scripts ready (mfg + trades),Not started,,,
A,Outreach,Onboarding fit gate (≥7/10) documented,Not started,,,See v1-scope.md
A,Comms,Calendar link live,Not started,,,
A,Comms,Email signature with Meshflow one-liner,Not started,,,
A,Product literacy,Mesh + Signal catalogs reviewed,Not started,,,
A,Product literacy,Pricing memorized ($0 trial → $4000 + $600/mo),Not started,,,
B,Entity,Employment agreement reviewed (AllCloud),Not started,,,Do first
B,Entity,LLC formed (NC),Not started,,,
B,Entity,EIN obtained,Not started,,,
B,Entity,Business bank account open,Not started,,,
B,Entity,Domain registered,Not started,,,
B,Entity,Business email live,Not started,,,
B,Entity,Support email planned,Not started,,,
B,Presence,Landing page (Meshflow value prop),Not started,,,
B,Presence,One-pager PDF,Not started,,,
B,Presence,Pricing sheet PDF (brackets filled),Not started,,,
B,Legal,Mutual NDA template ready,Not started,,,
B,Legal,Meshflow trial terms signed template ready,Not started,,,
B,AWS,Meshflow production AWS account + MFA,Not started,,,
B,AWS,Billing alerts configured,Not started,,,
B,AWS,Core services provisioned (S3/Meshflow/Athena/Lambda/etc.),Not started,,,
B,AWS,Tenant isolation per client,Not started,,,
B,AWS,CI/CD deploy path (no laptop prod deploys),Not started,,,
B,AWS,Secrets in Secrets Manager only,Not started,,,
B,AWS,Subprocessor list drafted for MSA,Not started,,,
B,Delivery,Signal delivery channel chosen,Not started,,,Email default v1
B,Delivery,Transactional email SPF/DKIM if email channel,Not started,,,
B,Delivery,Briefing template tested,Not started,,,
B,Product,Meshflow MVP end-to-end on test tenant,Not started,,,
B,Product,First ERP/FSM + QB playbook ready,Not started,,,
B,Product,Review queue admin process,Not started,,,
B,Product,Mesh implementation runbook,Not started,,,
B,Product,Trial success criteria template,Not started,,,
C,Commercial,Meshflow MSA ready (brackets filled),Not started,,,
C,Commercial,Meshflow SOW ready,Not started,,,
C,Commercial,W-9 from LLC EIN,Not started,,,
C,Commercial,Attorney review scheduled/completed,Not started,,,
C,Payments,Invoicing tool configured,Not started,,,
C,Payments,Invoice template ($4000 activation + $600/mo),Not started,,,
C,Payments,Payment method tested to business account,Not started,,,
C,Risk,E&O insurance in place,Not started,,,
C,Risk,Subprocessor list finalized,Not started,,,
C,Delivery,Support email live in MSA,Not started,,,
C,Delivery,Post-conversion onboarding checklist,Not started,,,
